"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C5,C7,C9,C11,C13","8","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4,C6,C8,C10,C12","5","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","5V_LED","","","","","~"
"D2","1","3V3_LED","","","","","~"
"D4","1","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"J1","1","M2_CONN","","","","","~"
"J2","1","M1_CONN","","","","","~"
"J3","1","BATT_CONN","","","","","~"
"J4","1","CONN_MPU6050","","","","pincocked_2.54mm","~"
"J5","1","Conn_01x05","","","","","~"
"J6","1","ENCODER_CONN","","","","Connector_JST:JST_XH_B4B-XH","~"
"J7","1","Conn_01x04","","","","conn_pinheader","~"
"P1","1","USB_C_Plug_USB2.0","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1,R2","2","1k","","","","","~"
"S1","1","SLW-66527511-SMT-TR","","","","SLW-66527511-SMT-TR:SW_SLW-66527511-SMT-TR",""
"U1","1","STM32F401RBTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f401rb.pdf"
"U2,U3","2","LD1117S50TR_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
"U4","1","TB6612FNG","","","","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","https://toshiba.semicon-storage.com/us/product/linear/motordriver/detail.TB6612FNG.html"
"Y1","1","Crystal_GND24","","","","Crystal:Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm","~"
